objID,ra,dec,r,u,g,i,z,u_r,g_r,g_i,r_i,r_z,photoz,radmpc,vel
1237651737380782156,210.220161438876,3.00240632313239,19.63123,24.78987,21.04242,19.20779,18.89601,5.158634,1.41119,1.834631,0.4234409,0.735218,0.274616,1.84177113956418,71348.3454472821
1237651737380782231,210.132481601206,2.91200199161681,17.5213,21.21285,18.88996,17.0215,16.69408,3.691555,1.368664,1.868464,0.4997997,0.8272152,0.208612,1.85065478379251,56132.3339396887
1237651737380782232,210.129975242717,2.9130756870724,18.54442,22.41393,20.04988,18.00282,17.60381,3.869511,1.505455,2.047058,0.5416031,0.9406109,0.262671,1.88891636217218,68679.5856295184
1237651737380782310,210.189180017285,2.96144604090892,19.34302,22.28129,20.68834,18.8337,18.44859,2.938267,1.345324,1.854647,0.5093231,0.8944321,0.286757,1.53513017194425,74023.326660593
1237651737380782311,210.190700250517,2.96277870726352,22.80993,24.65695,24.30706,23.41458,22.13988,1.847015,1.497122,0.892477,-0.6046448,0.6700554,0.273536,1.53608737511311,71108.5568724863
1237651737380782324,210.206021559217,2.91441234108419,19.24081,23.12401,20.74973,18.72031,18.42153,3.883194,1.508923,2.029423,0.5205002,0.8192863,0.287225,0.903688087278343,74125.6906897062
1237651737380782421,210.215967655072,2.93228278499394,18.26881,22.01015,19.6753,17.70516,17.36033,3.741343,1.406487,1.970133,0.5636463,0.9084759,0.239094,0.974339046852967,63302.8321355886
1237651737380782423,210.223341388129,2.94561848511701,18.45038,21.76457,19.92038,17.92481,17.55425,3.31419,1.470003,1.995569,0.5255661,0.8961277,0.255499,1.07647098743413,67059.4324354174
1237651737380782429,210.237910951271,2.89502957048675,18.42053,21.65667,19.84615,17.95259,17.61979,3.236137,1.425615,1.893557,0.4679413,0.8007393,0.24598,0.376294075997001,64888.304888957
1237651737380782430,210.235020655678,2.89340470037479,18.54693,22.93266,20.08491,17.93626,17.52429,4.385725,1.537981,2.148655,0.6106739,1.022636,0.275315,0.396290560230208,71503.3865653099
1237651737380782442,210.242927278366,3.00561512602425,18.73612,21.7489,20.0549,18.25037,17.87714,3.012777,1.318775,1.804525,0.4857502,0.8589802,0.226939,1.81838890523393,60473.4313601866
1237651737380782447,210.246114651507,2.93364934655141,17.96547,21.42616,19.4524,17.46445,17.0873,3.460693,1.486938,1.987951,0.5010128,0.8781624,0.24511,0.803088881089669,64688.6853803554
1237651737380782462,210.2531334125,2.90403798365175,17.96029,22.57366,19.48085,17.49157,17.15558,4.613367,1.520563,1.989283,0.4687195,0.8047123,0.250145,0.371212013110403,65841.1885274009
